karangdieng
-7.539133, 112.497361
-7.538878, 112.498820
-7.540325, 112.499163
-7.540495, 112.500451
-7.544324, 112.503541
-7.544664, 112.505429
-7.541303, 112.504957
-7.540835, 112.508691
-7.538495, 112.508905
-7.539026, 112.518476
-7.543026, 112.518176
-7.543951, 112.518455
-7.543823, 112.518068
-7.545738, 112.517081
-7.546929, 112.515365
-7.546461, 112.513863
-7.547825, 112.513689
-7.548632, 112.513809
-7.550125, 112.513568
-7.552873, 112.514683
-7.553858, 112.514653
-7.555053, 112.515527
-7.559563, 112.515135
-7.558667, 112.510947
-7.557532, 112.511038
-7.556681, 112.505358
-7.556494, 112.503942
-7.554045, 112.503641
-7.550820, 112.500990
-7.548938, 112.501110
-7.547236, 112.501924
-7.546638, 112.500960
-7.545414, 112.500297
-7.544279, 112.500508
-7.543831, 112.500086
-7.542606, 112.500628
-7.542815, 112.499755
-7.540635, 112.498158
-7.539052, 112.497495
